"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/docs/docs-client.tsx", "TypeScript JSX", -2, 0, 0, -2
"Total", "-", -2, 0, 0, -2
