"filename", "language", "YAML", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "XML", "JavaScript", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Investigation.ts", "TypeScript", 0, 1499, 0, 0, 0, 0, 0, 0, 0, 0, 689, 155, 2343
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Issue.ts", "TypeScript", 0, 1260, 0, 0, 0, 0, 0, 0, 0, 0, 707, 149, 2116
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Monitor.ts", "TypeScript", 0, 1699, 0, 0, 0, 0, 0, 0, 0, 0, 704, 157, 2560
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/MonitorAlert.ts", "TypeScript", 0, 1123, 0, 0, 0, 0, 0, 0, 0, 0, 689, 137, 1949
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/MonitorAlertNotification.ts", "TypeScript", 0, 676, 0, 0, 0, 0, 0, 0, 0, 0, 643, 105, 1424
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Organization.ts", "TypeScript", 0, 695, 0, 0, 0, 0, 0, 0, 0, 0, 673, 115, 1483
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Project.ts", "TypeScript", 0, 2227, 0, 0, 0, 0, 0, 0, 0, 0, 787, 209, 3223
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Release.ts", "TypeScript", 0, 985, 0, 0, 0, 0, 0, 0, 0, 0, 677, 127, 1789
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/ReplayChunk.ts", "TypeScript", 0, 779, 0, 0, 0, 0, 0, 0, 0, 0, 653, 110, 1542
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/ReplaySession.ts", "TypeScript", 0, 1671, 0, 0, 0, 0, 0, 0, 0, 0, 689, 142, 2502
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Session.ts", "TypeScript", 0, 705, 0, 0, 0, 0, 0, 0, 0, 0, 643, 103, 1451
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/TelemetrySession.ts", "TypeScript", 0, 1033, 0, 0, 0, 0, 0, 0, 0, 0, 667, 134, 1834
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/User.ts", "TypeScript", 0, 988, 0, 0, 0, 0, 0, 0, 0, 0, 709, 137, 1834
