"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/alert.ts", "TypeScript", 327, 0, 0, 13, 53, 393
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/event.ts", "TypeScript", 19, 0, 0, 0, -2, 17
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/issue.ts", "TypeScript", 20, 0, 0, 0, -1, 19
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/monitor.ts", "TypeScript", 743, 0, 0, 11, 71, 825
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/issues/issues-list-client.tsx", "TypeScript JSX", 0, -3, 0, 0, 0, -3
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/layout.tsx", "TypeScript JSX", 0, 11, 0, 0, -1, 10
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/[id]/edit/page.tsx", "TypeScript JSX", 0, 28, 0, 0, 6, 34
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/[id]/loading.tsx", "TypeScript JSX", 0, 32, 0, 6, 7, 45
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/[id]/not-found.tsx", "TypeScript JSX", 0, 25, 0, 0, 2, 27
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/[id]/page.tsx", "TypeScript JSX", 0, 35, 0, 8, 13, 56
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/alerts/[id]/loading.tsx", "TypeScript JSX", 0, 23, 0, 5, 6, 34
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/alerts/[id]/not-found.tsx", "TypeScript JSX", 0, 25, 0, 0, 2, 27
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/monitors/alerts/[id]/page.tsx", "TypeScript JSX", 0, 210, 0, 6, 16, 232
