"filename", "language", "YAML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON with Comments", "JSON", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/aggregate.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 29, 87
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/anomalies.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/change-detector.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/changes.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 15, 35
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/correlate.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 17, 57
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/hypotheses.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/impact.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/normalize.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/rank.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/recommend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/report.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/timeline.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 10, 35
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/validate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/deployment-before-error.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 20, 63
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/different-service.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 12, 51
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/multiple-errors.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 11, 48
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/same-service.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 10, 47
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/scoring/deploymment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/scoring/release.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/scoring/service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/service.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/time-window.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 15, 60
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/change.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/evidence-score.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/evidence.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/graph.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 9, 33
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/hypothesis.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/impact.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/investigation.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 9, 26
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/reason.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/recommendation.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
