"filename", "language", "JavaScript", "JSON", "YAML", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/cors.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 10, 67
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/email.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/entitlements.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 34, 24, 139
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/evidence.ts", "TypeScript", 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 40, 84, 406
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/interpreter.ts", "TypeScript", 0, 0, 0, 784, 0, 0, 0, 0, 0, 0, 51, 97, 932
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/run.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 96, 9, 151
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/organization.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 51
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/plans.ts", "TypeScript", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 46, 11, 258
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/prisma.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 5, 22
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/session.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/slug.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/schemas/auth.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 8, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/nssanjeev/Development/Halo/package.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/Users/nssanjeev/Development/Halo/packages/config/package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/package.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/deterministic/patterns.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 8, 145
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/deterministic/security.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 2, 8, 69
