"filename", "language", "YAML", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "JSON with Comments", "JavaScript", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/novelty/novelty-detector.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 11, 80
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/novelty/template-miner.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 16, 22, 112
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/build-context.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 1, 15, 109
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/changes.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/correlate.ts", "TypeScript", 0, 588, 0, 0, 0, 0, 0, 0, 0, -31, 98, 655
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/evaluate.ts", "TypeScript", 0, 541, 0, 0, 0, 0, 0, 0, 0, 178, 89, 808
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/hypotheses.ts", "TypeScript", 0, 334, 0, 0, 0, 0, 0, 0, 0, -29, 58, 363
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/impact.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/normalize.ts", "TypeScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 1, 46, 204
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/rank.ts", "TypeScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 160, 30, 384
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/recommend.ts", "TypeScript", 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 87, 518
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/report.ts", "TypeScript", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 27, 251
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/root-cause.ts", "TypeScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 21, 149
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/timeline.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/validate.ts", "TypeScript", 0, 676, 0, 0, 0, 0, 0, 0, 0, 187, 91, 954
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/pre-existing-error.ts", "TypeScript", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, -14, -29
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/recovery.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/suppression/health-checks.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 10, 45
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/suppression/retry-storms.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 7, 39
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/anomaly.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/confidence.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/context.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/evidence-score.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/evidence.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, -104, 11, -78
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/graph.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/hypothesis.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/impact.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/investigation.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/telemetry.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/template.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 357, 0, 0, 11, 6, 374
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.d.cts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 60, 4, 133
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.d.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 60, 4, 133
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 334, 0, 0, 9, 4, 347
"/Users/nssanjeev/Development/Halo/packages/replay/package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/nssanjeev/Development/Halo/packages/replay/src/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nssanjeev/Development/Halo/packages/replay/src/masker.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 11, 101
"/Users/nssanjeev/Development/Halo/packages/replay/src/recorder.ts", "TypeScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 12, 24, 174
"/Users/nssanjeev/Development/Halo/packages/replay/src/ring-buffer.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 11, 57
"/Users/nssanjeev/Development/Halo/packages/replay/src/types.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 57, 4, 102
"/Users/nssanjeev/Development/Halo/packages/replay/src/uploader.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 15, 112
"/Users/nssanjeev/Development/Halo/packages/replay/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/nssanjeev/Development/Halo/packages/replay/tsup.config.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/nssanjeev/Development/Halo/packages/sdk/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 107, 379
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 608, 0, 0, 16, 7, 631
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.d.cts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 30, 3, 119
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.d.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 30, 3, 119
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 585, 0, 0, 14, 5, 604
"/Users/nssanjeev/Development/Halo/packages/sdk/package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
"/Users/nssanjeev/Development/Halo/packages/sdk/src/capture.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 8, 4, 24
"/Users/nssanjeev/Development/Halo/packages/sdk/src/client.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/nssanjeev/Development/Halo/packages/sdk/src/halo.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 17, 57, 244
"/Users/nssanjeev/Development/Halo/packages/sdk/src/http.ts", "TypeScript", 0, 386, 0, 0, 0, 0, 0, 0, 0, 80, 87, 553
"/Users/nssanjeev/Development/Halo/packages/sdk/src/request-context.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 17, 75
"/Users/nssanjeev/Development/Halo/packages/sdk/src/types.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 30, 19, 70
"/Users/nssanjeev/Development/Halo/packages/sdk/tsup.config.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/nssanjeev/Development/Halo/pnpm-lock.yaml", "YAML", 751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 956
"/Users/nssanjeev/Development/Halo/pnpm-workspace.yaml", "YAML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260811083815_add_project_telemetry/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 30, 13, 14, 57
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260811101729_add_releases/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 22, 10, 11, 43
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260811133328_add_http_correlation/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260811134655_add_http_correlation/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260822165541_add_org_plan/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260822175221_add_session_replay/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 51, 15, 17, 83
"Total", "-", 753, 16966, 80, 8232, 1751, 16, 1884, 272, 109, 4565, 4075, 38703
