"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "JavaScript", "YAML", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/analytics.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 9, 28
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/explore.ts", "TypeScript", 261, 0, 0, 0, 0, 0, 11, 35, 307
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/issue.ts", "TypeScript", 288, 0, 0, 0, 0, 0, 1, 26, 315
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/overview.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 34, 13, 177
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/project.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/services.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 3, 7, 90
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/dashboards/page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/database/page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/errors/page.tsx", "TypeScript JSX", 0, -19, 0, 0, 0, 0, 0, 0, -19
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/infrastructure/page.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/logs/page.tsx", "TypeScript JSX", 0, -15, 0, 0, 0, 0, 0, 0, -15
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/metrics/page.tsx", "TypeScript JSX", 0, -5, 0, 0, 0, 0, 0, -1, -6
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/page.tsx", "TypeScript JSX", 0, -37, 0, 0, 0, 0, -2, -5, -44
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/explore/requests/page.tsx", "TypeScript JSX", 0, -19, 0, 0, 0, 0, 0, 0, -19
