"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/actions/issue.ts", "TypeScript", 123, 0, 91, 26, 240
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/app/(dashboard)/projects/[id]/investigations/new/page.tsx", "TypeScript JSX", 0, -558, -31, -101, -690
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/auth/sign-in-form.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/auth/sign-up-form.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/replay/replay-player-client.tsx", "TypeScript JSX", 0, 52, 2, 5, 59
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/auth.ts", "TypeScript", 8, 0, 0, 1, 9
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/interpreter.ts", "TypeScript", 65, 0, 22, 3, 90
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/run.ts", "TypeScript", 47, 0, 43, 9, 99
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/organization.ts", "TypeScript", 26, 0, 2, 4, 32
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/cascading-failure.ts", "TypeScript", 67, 0, 3, 12, 82
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/database-failure.ts", "TypeScript", 90, 0, 1, 8, 99
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/network-protocol.ts", "TypeScript", 118, 0, 0, 8, 126
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/runtime-exception.ts", "TypeScript", 146, 0, 1, 9, 156
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/hypotheses.ts", "TypeScript", 16, 0, 0, 0, 16
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/recommend.ts", "TypeScript", 49, 0, 0, 0, 49
"Total", "-", 755, -504, 134, -16, 369
